"","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","RC1","RC2"
"1",4,1,4,3,3,2,4,4,4,4,-0.486190602693936,-1.18548453588437
"2",5,5,4,4,3,3,4,1,1,3,0.913188994558042,-0.477269546168397
"3",2,1,3,1,4,2,1,5,4,5,-1.50722113929722,-1.51368782070428
"4",1,1,1,1,4,4,2,5,5,4,-1.77583545540845,-0.238645159202805
"5",1,1,2,1,5,5,4,3,3,2,-0.918413182508732,1.42474765453602
"6",5,5,5,5,3,3,4,2,2,1,1.13893810448411,-0.35233499386132
"7",4,5,4,4,2,2,5,1,1,1,1.15269276654783,-0.631289843473321
"8",3,2,3,1,4,4,2,5,5,5,-1.33059811074791,-0.59108065632475
"9",4,4,4,3,4,4,3,1,1,1,0.709134350474549,0.413195744476048
"10",5,5,5,5,2,2,3,2,2,2,1.02133435984566,-1.5128057338585
"11",2,2,2,1,5,4,4,3,4,3,-0.935811296896398,0.828840770737853
"12",4,4,5,5,4,5,5,2,1,2,0.930474992066843,0.946371319094275
"13",3,2,2,1,4,5,4,4,3,3,-0.75933742230652,0.760125538972079
"14",5,5,4,4,5,4,4,1,2,2,0.795063893530313,0.782122146084943
"15",4,3,3,1,4,4,5,3,4,4,-0.482061886910639,0.400981052622741
"16",5,5,4,4,4,5,4,2,1,1,0.975068538743727,0.912183928501214
"17",4,4,5,2,4,5,5,4,4,2,0.0770250843515323,0.883281578202298
"18",5,5,4,4,2,2,1,2,2,3,0.563316832164535,-2.06647062497907
"19",3,3,2,2,4,4,5,4,5,4,-0.833680715547306,0.383763473871159
"20",5,5,4,4,4,5,4,3,2,1,0.75291189554999,0.833455707358185
